,name,color,specie,strain,type,PCN,MIC,conj_rate,VKm,rho,seg_rate,kappa
48,PF_KPN18,#ff49b1,K,K275,TC,2.0974,14336.0,nan,6.91e-10,717336800.0,0.02,0.125
49,PF_KPN19,#c15603,K,K285,TC,1.6887,8192.0,nan,5.58e-10,831874350.0,0.02,0.0625
50,PF_KPN20,#5d8c90,K,K300,TC,2.6641,8192.0,nan,4.86e-10,1022394100.0,0.02,0.0625
51,PF_EC01,#d60000,E,C001,WT,nan,32.0,nan,5.28e-10,877563800.0,nan,0.000244140625
52,PF_EC02,#018700,E,C002,WT,nan,32.0,nan,6.65e-10,678608700.0,nan,0.000244140625
53,PF_EC03,#b500ff,E,C006,WT,nan,16.0,nan,6.54e-10,815145500.0,nan,0.0001220703125
54,PF_EC04,#05acc6,E,C011,WT,nan,32.0,nan,6.58e-10,770241720.0,nan,0.000244140625
55,PF_EC05,#97ff00,E,C012,WT,nan,16.0,nan,7.83e-10,641598800.0,nan,0.0001220703125
56,PF_EC06,#ffa52f,E,C021,WT,nan,32.0,nan,6.84e-10,656675000.0,nan,0.000244140625
57,PF_EC07,#ff8ec8,E,C022,WT,nan,64.0,nan,4.15e-10,1013229000.0,nan,0.00048828125
58,PF_EC08,#79525e,E,C031,WT,nan,32.0,nan,5.05e-10,989976790.0,nan,0.000244140625
59,PF_EC09,#00fdcf,E,C051,WT,nan,16.0,nan,7.31e-10,869367480.0,nan,0.0001220703125
60,PF_EC10,#afa5ff,E,C063,WT,nan,64.0,-12.064055,7.37e-10,847214190.0,nan,0.00048828125
61,PF_EC11,#93ac83,E,C094,WT,nan,32.0,nan,7.25e-10,648293760.0,nan,0.000244140625
62,PF_EC12,#9a6900,E,C107,WT,nan,64.0,-11.126114,4.81e-10,976793400.0,nan,0.00048828125
63,PF_EC13,#366962,E,C115,WT,nan,16.0,nan,7.71e-10,793248600.0,nan,0.0001220703125
64,PF_EC14,#d3008c,E,C131,WT,nan,8.0,nan,8.36e-10,749981880.0,nan,6.103515625e-05
65,PF_EC15,#fdf490,E,C141,WT,nan,64.0,nan,7e-10,852787560.0,nan,0.00048828125
66,PF_EC16,#c86e66,E,C201,WT,nan,32.0,-10.16414,5.55e-10,1040166000.0,nan,0.000244140625
67,PF_EC17,#9ee2ff,E,C227,WT,nan,8.0,nan,6.37e-10,864736125.0,nan,6.103515625e-05
68,PF_EC18,#00c846,E,C232,WT,nan,32.0,nan,6.94e-10,624968240.0,nan,0.000244140625
69,PF_EC19,#a877ac,E,C247,WT,nan,16.0,nan,6.2e-10,942350750.0,nan,0.0001220703125
70,PF_EC20,#b8ba01,E,C261,WT,nan,32.0,nan,5.3e-10,913294200.0,nan,0.000244140625
71,PF_EC21,#f4bfb1,E,C286,WT,nan,64.0,-11.554333,4.9e-10,838648200.0,nan,0.00048828125
72,PF_EC22,#ff28fd,E,C290,WT,nan,16.0,nan,6.62e-10,988554642.5,nan,0.0001220703125
73,PF_EC23,#f2cdff,E,C302,WT,nan,64.0,nan,5.19e-10,909351360.0,nan,0.00048828125
74,PF_EC24,#009e7c,E,C309,WT,nan,64.0,nan,4.81e-10,976793400.0,nan,0.00048828125
75,PF_EC25,#ff6200,E,C324,WT,nan,128.0,-11.048159,5.47e-10,1003583625.0,nan,0.0009765625
76,PF_KPN01,#56642a,K,K037,WT,nan,128.0,-14.6,3.65e-10,867332600.0,nan,0.0009765625
77,PF_KPN02,#953f1f,K,K038,WT,nan,64.0,-10.444337,6.35e-10,795186480.0,nan,0.00048828125
78,PF_KPN03,#90318e,K,K087,WT,nan,128.0,nan,3.69e-10,997483205.0,nan,0.0009765625
79,PF_KPN04,#ff3464,K,K091,WT,nan,32.0,nan,4.3e-10,893634640.0,nan,0.000244140625
80,PF_KQ01,#a0e491,K,K112,WT,nan,128.0,-10.341295,5.49e-10,994807880.0,nan,0.0009765625
81,PF_KPN05,#8c9ab1,K,K114,WT,nan,256.0,nan,5.15e-10,851305095.0,nan,0.001953125
82,PF_KPN06,#829026,K,K125,WT,nan,128.0,nan,5.66e-10,774183375.0,nan,0.0009765625
83,PF_KPN07,#ae083f,K,K141,WT,nan,124.0,nan,3.79e-10,945803600.0,nan,0.0009765625
84,PF_KPN08,#77c6ba,K,K168,WT,nan,64.0,nan,4.33e-10,718807230.0,nan,0.00048828125
85,PF_KPN09,#bc9157,K,K177,WT,nan,128.0,-10.333868,7.3e-10,777162300.0,nan,0.0009765625
86,PF_KQ02,#e48eff,K,K200,WT,nan,128.0,nan,5.22e-10,1006425550.0,nan,0.0009765625
87,PF_KQ03,#72b8ff,K,K201,WT,nan,128.0,nan,7.2e-10,632808100.0,nan,0.0009765625
